project_id,skill_name,skill_uri
569,Behavioral Interviews,taxonomy:f30bc3ea-4737-45c9-8168-f291f657f738
569,Psychological Safety,taxonomy:94af0c43-94f7-45ae-873c-8bf1492241bb
569,Team Dynamics,taxonomy:430c3df7-a536-46c7-bf69-d9e3244e1369
569,Active Listening,taxonomy:ed8b172f-dc1f-4654-86b0-8d66b80be86c
569,Communication Strategies,taxonomy:274c1623-5df2-4e21-b9a9-8a33be4a276b
569,Stakeholder Engagement,taxonomy:0bd92694-4854-4193-ad15-cf74403c05e9
1947,C++ Proficiency,taxonomy:a0777153-e245-444d-ac7c-e121061a318b
1947,Python Proficiency,taxonomy:3b4916bd-a3a1-46e5-96ca-622f7f89f0a9
1947,Code Debugging,taxonomy:85edad12-f3ca-4043-8a11-b2c1ae8fe479
1947,Programming Language Implementations,taxonomy:1fc13bbe-45b9-4303-bd79-8677c8d05116
1947,Object-Oriented Programming Proficiency,taxonomy:503fb598-b24b-48d5-8a10-e39fb5fb0542
1947,C++ Syntax,taxonomy:7b2e251c-1a5b-4f81-b8de-850a1f47e048
1947,Software Development Proficiency,taxonomy:e7cea2f0-a901-4ffc-a5b4-19677a7fa8eb
2026,Data Storytelling,taxonomy:cc8ba3b6-c5f7-451b-82d5-6356cf12f158
2026,Data Visualization,taxonomy:a1721587-9a5c-4da0-8f56-42cfe2209997
2026,Storytelling,taxonomy:cc8ba3b6-c5f7-451b-82d5-6356cf12f158
2026,Explanatory Data Visualization,taxonomy:96f8a41b-8b08-4e9b-8389-5eee0a5e269d
2026,Chart Selection and Formatting in Spreadsheets,taxonomy:6194a2e2-a094-4cf4-8242-7cf3f6092ee3
2026,Professional Presentations,taxonomy:a46fff1a-0371-4054-8c9c-8d43e20f58b3
1976,PostgreSQL,taxonomy:25d08718-0969-4ffc-bb23-0e399614c0ab
1976,Database Design,taxonomy:57784d55-69e4-4792-81a8-7d1db241112c
1976,Data Modeling Basics,taxonomy:9b0bbbc2-ede3-4ff4-9dfa-08898b18123e
1976,Relational Database Proficiency,taxonomy:670bf6a2-936d-492a-b3db-387d1797a0ac
1976,SQL Proficiency,taxonomy:bb5521e8-10d8-4359-a311-289db8028e09
1976,Data Relationships,taxonomy:417578bc-25b9-4efc-a9c1-06a2ee92a023
1976,Object-Relational Mapping,taxonomy:3ed65568-a3a6-4f9c-abae-e4541050284a
1942,Relational Data Models,taxonomy:71a7c937-1fc6-417a-8b37-5c05e3cbf209
1942,SQL Proficiency,taxonomy:bb5521e8-10d8-4359-a311-289db8028e09
1942,Database Design,taxonomy:57784d55-69e4-4792-81a8-7d1db241112c
1942,Database Fundamentals,taxonomy:c55700df-6c45-4b1b-945c-19526a729c0e
